,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,RA,DEC,DistFromEarthParsec
11,tau Ceti d,0,0.011324522,,94.11,0.374,0.08,,,,,,,RV,2012.0,12/12/19,01 44 04,-15 56 15,3.65,0.7829999999999999,0.7979999999999999,-0.55,,5.8,Controversial,1.7444444444444445,-15.975,3.6500008079540844
12,GJ 273 c,0,0.00371,,4.7234,0.036467,0.17,,,,,,,RV,2017.0,17/03/21,07 27 24,+05 13 33,3.8,0.29,0.293,0.09,3382.0,,Confirmed planets,7.516666666666667,5.308333333333334,3.800000900595629
13,GJ 273 b,0,0.00909,,18.6498,0.091101,0.1,,,,,,,RV,2017.0,17/03/21,07 27 24,+05 13 33,3.8,0.29,0.293,0.09,3382.0,,Confirmed planets,7.516666666666667,5.308333333333334,3.800000900595629
14,Kapteyn b,0,0.015099000000000001,,48.61600000000001,0.168,0.21,80.4,,,,,,RV,2014.0,15/05/24,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.29100000000000004,-0.86,3550.0,11.0,Controversial,5.296058666666667,-45.03413861111111,3.9100013251179577
15,Kapteyn c,0,0.022019999999999998,,121.54,0.311,0.23,,,,,,,RV,2014.0,14/06/06,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.29100000000000004,-0.86,3550.0,11.0,Confirmed planets,5.296058666666667,-45.03413861111111,3.9100013251179577
16,Wolf 1061 b,0,0.00428,,4.8876,0.035509,0.0,,,,,,,RV,2015.0,15/12/27,16 30 18.05803,-12 39 45.3232,4.2922,0.25,0.26,-0.05,3345.0,,Confirmed planets,16.550161194444446,-12.775897777777779,4.292196842586435
17,Wolf 1061 d,0,0.0164,,67.27,0.2039,0.32,102.0,,,,,,RV,2015.0,15/12/27,16 30 18.05803,-12 39 45.3232,4.2922,0.25,0.26,-0.05,3345.0,,Confirmed planets,16.550161194444446,-12.775897777777779,4.292196842586435
18,Wolf 1061 c,0,0.0134,,17.867,0.08427,0.19,37.0,,,,,,RV,2015.0,15/12/27,16 30 18.05803,-12 39 45.3232,4.2922,0.25,0.26,-0.05,3345.0,,Confirmed planets,16.550161194444446,-12.775897777777779,4.292196842586435
19,Gliese 687 b,0,0.057999999999999996,,38.14,0.16353,0.04,,,,,,,RV,2014.0,14/05/12,17 36 25.89973,+68 20 20.9108,4.5,0.413,0.4183,,3413.0,,Confirmed planets,17.671943694444447,68.39141888888888,4.500001392015756
20,Gliese 674 b,0,0.037000000000000005,,4.6938,0.039,0.2,,,,,519.6,,RV,2007.0,07/04/25,17 28 40,-46 53 43,4.54,0.35,,-0.28,3600.0,,Confirmed planets,17.577777777777776,-47.00277777777778,4.539998582283904
21,Gliese 876 c,0,0.8429,,30.0766,0.135985,0.2539,117.12,-104.6,-1.29,53.06,,,RV,2000.0,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129.0,,Confirmed planets,22.919444444444444,-14.286111111111111,4.6900004310825265
22,Gliese 876 d,0,0.0217,,1.93787,0.0218393,0.10800000000000001,162.52,162.28,,88.26,,,RV,2005.0,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129.0,,Confirmed planets,22.919444444444444,-14.286111111111111,4.6900004310825265
23,Gliese 876 e,0,0.053989999999999996,,124.72,0.3343,0.031,-54.2,-42.46,-1.29,53.29,,,RV,2010.0,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129.0,,Confirmed planets,22.919444444444444,-14.286111111111111,4.6900004310825265
24,Gliese 876 b,0,2.6697,,61.086999999999996,0.21858899999999998,0.034,112.27,-174.64,0.0,52.82,,,RV,2000.0,15/06/08,22 53 13,-14 15 13,4.69,0.37,0.3761,0.19,3129.0,,Confirmed planets,22.919444444444444,-14.286111111111111,4.6900004310825265
25,Gliese 832 b,0,0.688908,,3660.0,3.6,0.08,246.0,40.0,,,,,RV,2008.0,14/06/24,21 33 34,-49 00 32,4.94,0.45,,-0.3,3472.0,,Confirmed planets,21.644444444444446,-49.08888888888889,4.939998248757377
26,Gliese 832 c,0,0.015729,,35.67,0.162,0.03,80.0,246.0,,,,,RV,2014.0,14/06/24,21 33 34,-49 00 32,4.94,0.45,,-0.3,3472.0,,Confirmed planets,21.644444444444446,-49.08888888888889,4.939998248757377
27,GJ 682 b,0,0.013999999999999999,,17.477999999999998,0.08,0.08,90.0,,,,,,RV,2014.0,15/04/21,17 37 03.66242,-44 19 09.1697,5.079,0.27,,,3028.0,,Controversial,17.626840055555554,-44.34213805555556,5.079001547756517
28,GJ 682 c,0,0.027000000000000003,,57.32,0.17600000000000002,0.1,320.0,,,,,,RV,2014.0,15/04/21,17 37 03.66242,-44 19 09.1697,5.079,0.27,,,3028.0,,Controversial,17.626840055555554,-44.34213805555556,5.079001547756517
29,GJ 229 b,2,0.10099999999999999,,471.0,0.97,0.1,150.0,,,,,,RV,2014.0,15/04/21,06 10 34.61533,-21 51 52.7117,5.75,0.58,,,3564.0,,"Controversial, Planets in binary systems, S-type",6.262820361111111,-21.99642138888889,5.749995152932683
30,HD 20794 c,0,0.00754968,,40.114000000000004,0.2036,0.0,,,,,508.9,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,3.469444444444444,-43.52777777777778,6.059995876093201
31,HD 20794 d,0,0.015099000000000001,,90.309,0.3499,0.0,,,,,388.2,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,3.469444444444444,-43.52777777777778,6.059995876093201
32,HD 20794 b,0,0.008493299999999999,,18.315,0.1207,0.0,,,,,661.0,,RV,2011.0,11/08/18,03 19 55,-43 30 10,6.06,0.7,,-0.4,5490.0,,Confirmed planets,3.469444444444444,-43.52777777777778,6.059995876093201
33,Gliese 581 c,0,0.017301,,12.914000000000001,0.0721,,,,,,312.7,,RV,2007.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Confirmed planets,15.38888888888889,-7.772222222222222,6.209999624043089
34,Gliese 581 f,0,0.022019900000000002,,433.0,0.758,0.0,,,,,,,RV,2010.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Retracted planet candidate,15.38888888888889,-7.772222222222222,6.209999624043089
35,Gliese 581 e,0,0.0061,,3.1489999999999996,0.02815,,,,,,500.8,,RV,2009.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Confirmed planets,15.38888888888889,-7.772222222222222,6.209999624043089
36,Gliese 581 d,0,0.019,,66.64,0.22,0.25,,,,,181.0,,RV,2007.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Retracted planet candidate,15.38888888888889,-7.772222222222222,6.209999624043089
37,Gliese 581 g,0,0.009751600000000001,,36.5,0.146,0.0,,,,,230.9,,RV,2010.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Retracted planet candidate,15.38888888888889,-7.772222222222222,6.209999624043089
38,Gliese 581 b,0,0.049701999999999996,,5.3686,0.04061,,,,,,419.2,,RV,2005.0,14/07/04,15 19 26,-07 43 20,6.21,0.31,0.3,-0.135,3498.0,,Confirmed planets,15.38888888888889,-7.772222222222222,6.209999624043089
39,HD 219134 e,0,0.067,,46.71,0.23508,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
40,HD 219134 d,0,0.027999999999999997,,22.805,0.14574,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
41,HD 219134 c,0,0.011000000000000001,,6.7635,0.064816,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
42,HD 219134 b,0,0.012,0.1433,3.0931,0.038474,0.0,0.0,,,85.05799999999999,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
43,HD 219134 f,0,0.034,,94.2,0.3753,0.0,0.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
44,HD 219134 g,0,0.34,,2247.0,3.11,0.06,215.0,,,,,,RV,2015.0,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699.0,12.9,Confirmed planets,23.26382311111111,57.18356194444444,6.545998853469369
45,Gliese 667 C h,2,0.00346,,16.945999999999998,0.0893,0.06,114.591559,45.0,,,,,RV,2013.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Controversial, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
46,Gliese 667 C c,2,0.011954000000000001,,28.14,0.125,0.02,292.20847599999996,308.0,,,,,RV,2009.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Confirmed planets, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
47,Gliese 667 C f,2,0.008493,,39.025999999999996,0.156,0.03,103.132403,34.0,,,,,RV,2013.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Controversial, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
48,Gliese 667 C e,2,0.008493,,62.24,0.213,0.02,28.647890000000004,262.0,,,,,RV,2013.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Controversial, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
49,Gliese 667 C b,2,0.017616,,7.2004,0.0505,0.13,5.729578,201.0,,,,,RV,2009.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Confirmed planets, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
50,Gliese 667 C d,2,0.016043,,91.61,0.276,0.03,40.107046000000004,251.0,,,,,RV,2013.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Controversial, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
51,Gliese 667 C g,2,0.014469999999999998,,256.2,0.5489999999999999,0.08,51.566202000000004,285.0,,,,,RV,2013.0,13/06/25,17 18 57,-34 59 23,6.97,0.33,0.41,,3350.0,,"Controversial, Planets in binary systems, S-type",17.458333333333336,-35.047222222222224,6.969999235841371
52,Fomalhaut b,2,,,320000.0,177.0,0.8,26.0,,152.0,305.0,,,imaging,2008.0,13/05/12,22 57 39,-29 37 20,7.704,1.92,1.84,,8590.0,,"Controversial, Planets in binary systems, S-type",23.058333333333334,-29.672222222222224,7.704000402533815
53,61 Vir d,0,0.0721,,123.01,0.47600000000000003,0.35,314.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,13.36753963888889,-18.4119575,8.520003055769196
54,61 Vir c,0,0.0573,,38.021,0.2175,0.14,341.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,13.36753963888889,-18.4119575,8.520003055769196
55,61 Vir b,0,0.016,,4.215,0.050200999999999996,0.12,105.0,,,,,,RV,2009.0,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571.0,6.3,Confirmed planets,13.36753963888889,-18.4119575,8.520003055769196
56,Gliese 785 c,0,0.0754,,525.8,1.18,0.32,,,,,171.8,,RV,2011.0,11/08/18,20 15 17,-27 01 58,8.82,0.8,,-0.04,5166.0,,Confirmed planets,20.29722222222222,-27.177777777777777,8.819999728081477
57,Gliese 785 b,0,0.05316,,74.72,0.32,0.13,,,,,331.7,,RV,2010.0,11/08/18,20 15 17,-27 01 58,8.82,0.8,,-0.04,5166.0,,Confirmed planets,20.29722222222222,-27.177777777777777,8.819999728081477
58,Gliese 433 c,0,0.1416,,3400.0,3.6,0.08,,,,,,,RV,2012.0,14/03/18,11 35 27,-32 32 24,9.04,0.48,,-0.22,3600.0,,Controversial,11.658333333333333,-32.6,9.040001125065222
59,Gliese 433 b,0,0.0167,,7.3697,0.06,0.05,,,,,416.2,,RV,2009.0,14/03/31,11 35 27,-32 32 24,9.04,0.48,,-0.22,3600.0,,Confirmed planets,11.658333333333333,-32.6,9.040001125065222
60,Gliese 849 c,0,0.9440000000000001,,5520.0,4.82,0.087,172.0,,,,,,RV,2013.0,15/08/15,22 09 40.3,-04 38 26.6,9.1,0.49,0.52,0.31,3601.0,,Confirmed planets,22.261944444444442,-4.707222222222222,9.100000024134934
61,Gliese 849 b,0,0.9109999999999999,,1924.0,2.39,0.038,66.0,,,,,,RV,2006.0,15/08/15,22 09 40.3,-04 38 26.6,9.1,0.49,0.52,0.31,3601.0,,Confirmed planets,22.261944444444442,-4.707222222222222,9.100000024134934
62,HD 102365 b,0,0.05,,122.1,0.46,0.34,,,,,355.1,,RV,2011.0,11/01/11,11 46 31,-40 30 01,9.24,0.85,,-0.28,5650.0,,Confirmed planets,11.852777777777778,-40.50277777777778,9.239996542025192
63,Gliese 176 b,0,0.0264,,8.7836,0.066,0.0,0.0,,,,,,RV,2007.0,16/02/03,04 42 55.77497,+18 57 29.4043,9.42,0.49,0.53,-0.1,3520.0,,Confirmed planets,4.854930472222223,19.03167861111111,9.420000677331606
64,GJ 536,0,0.0169,,8.7076,0.06661,0.08,288.7,,,,,,RV,2016.0,16/11/08,14 01 03,-02 20 42,10.03,0.52,0.5,-0.08,3685.0,,Confirmed planets,14.025,-2.45,10.029999582024024
65,Gliese 436 b,0,0.0727,0.3767,2.64385,0.02872,0.15,,,,85.8,650.3,,transit,2004.0,14/03/31,11 42 11,+26 42 23,10.14,0.452,0.46399999999999997,-0.32,3684.0,,Confirmed planets,11.730555555555554,26.76388888888889,10.13999980391375
66,Gliese 436 c,0,0.0008807961,0.06014599,1.3658,0.0185,0.0,,,,85.1,813.5,,transit,2012.0,12/07/20,11 42 11,+26 42 23,10.14,0.452,0.46399999999999997,-0.32,3684.0,,Controversial,11.730555555555554,26.76388888888889,10.13999980391375
67,Gliese 649 b,0,0.32799999999999996,,598.3,1.135,0.3,,,,,102.2,,RV,2009.0,09/12/17,16 58 09,+25 44 39,10.34,0.54,,0.08,3700.0,,Confirmed planets,16.991666666666664,25.84166666666667,10.33999895793965
68,GJ 649.02,0,0.03,,4.4762,0.043,0.2,334.0,,,,,,RV,2013.0,15/04/23,16 58 09,+25 44 39,10.34,0.54,,0.08,3700.0,,Controversial,16.991666666666664,25.84166666666667,10.33999895793965
69,HD 62509 b,0,2.9,,589.64,1.69,0.02,,,,,482.6,,RV,2006.0,06/07/11,07 45 18,+28 01 34,10.34,1.47,9.3,0.19,4666.0,,Confirmed planets,7.8,28.11111111111111,10.339999741892214
70,Gliese 86 b,2,3.91,,15.76491,0.113,0.0416,269.0,,,,,,RV,2000.0,16/02/03,02 10 25.93425,-50 49 25.4179,10.783,0.8,0.855,-0.24,5188.0,2.5,"Confirmed planets, Planets in binary systems, S-type",2.23870625,-50.88727194444445,10.782997559310227
71,HD 3651.02,0,0.09,,31.08,0.18600000000000003,0.04,55.0,,,,,,RV,2013.0,15/04/23,00 39 21,+21 15 01,11.0,0.79,0.9470000000000001,0.05,5173.0,,Controversial,0.7083333333333334,21.252777777777776,10.999997276985997
72,HD 3651 b,0,0.2,,62.23,0.284,0.63,,,,83.0,405.0,,RV,2003.0,10/10/19,00 39 21,+21 15 01,11.0,0.79,0.9470000000000001,0.05,5173.0,,Confirmed planets,0.7083333333333334,21.252777777777776,10.999997276985997
73,HIP 57050 b,0,0.298,,41.397,0.16350599999999998,0.314,,,,,218.6,,RV,2010.0,10/04/27,11 41 45,+42 45 07,11.0,0.34,0.4,0.32,3190.0,,Confirmed planets,11.808333333333334,42.769444444444446,11.000001233456766
74,HD 85512 b,0,0.011000000000000001,,58.43,0.26,0.11,,,,,297.4,,RV,2011.0,11/08/18,09 51 07,-43 30 10,11.15,0.69,,-0.33,4715.0,,Confirmed planets,9.869444444444444,-43.52777777777778,11.149996067675797
75,GJ 1132 b,0,0.005096,0.10571099999999999,1.62893,,,,,,,,,transit,2015.0,15/11/12,10 14 51.846,-47 09 24.47,12.04,0.18100000000000002,0.207,-0.12,3270.0,,Confirmed planets,10.37735,-47.21797222222222,12.04000279750124
76,TRAPPIST-1 f,0,0.002139,0.095231,9.20669,0.0371,,,,,89.68,219.0,,transit,2017.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
77,TRAPPIST-1 h,0,,0.068803,20.0,0.063,,,,,89.98,168.0,,transit,2017.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Controversial,23.18427777777778,-5.134555555555555,12.099999267483721
78,TRAPPIST-1 b,0,0.0026739999999999997,0.098967,1.51087081,0.01111,,,,,89.65,400.1,,transit,2016.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
79,TRAPPIST-1 c,0,0.004340999999999999,0.096234,2.4218233,0.01521,,,,,89.67,341.9,,transit,2016.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
80,TRAPPIST-1 d,0,0.0012900000000000001,0.070353,4.0496099999999995,0.02144,,,,,89.75,288.0,,transit,2017.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
81,TRAPPIST-1 g,0,0.004215,0.10270399999999999,12.35294,0.0451,,,,,89.71,198.6,,transit,2017.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
82,TRAPPIST-1 e,0,0.00195,0.08365800000000001,6.099615,0.02817,,,,,89.86,251.3,,transit,2017.0,17/02/22,23 06 30.34,-05 02 36.44,12.1,0.0802,0.11699999999999999,0.04,2559.0,,Confirmed planets,23.18427777777778,-5.134555555555555,12.099999267483721
83,GJ 180 c,0,0.02,,24.329,0.129,0.09,230.0,,,,,,RV,2014.0,15/04/21,04 53 49.97976,-17 46 24.2944,12.1,0.43,,,3371.0,,Controversial,5.0221659999999995,-17.83415111111111,12.100000779280004
84,GJ 180 b,0,0.026000000000000002,,17.38,0.10300000000000001,0.11,10.0,,,,,,RV,2014.0,15/04/21,04 53 49.97976,-17 46 24.2944,12.1,0.43,,,3371.0,,Controversial,5.0221659999999995,-17.83415111111111,12.100000779280004
85,2M 0746+20 b,0,30.0,0.97,4640.0,2.897,0.48700000000000004,,,,138.2,,,imaging,2010.0,12/01/20,07 46 42.562,+20 00 32.18,12.21,0.12,0.08900000000000001,,2205.0,,Confirmed planets,7.884894444444444,20.089388888888887,12.209999951306019
86,Gliese 179 b,0,0.82,,2288.0,2.41,0.21,153.0,,,,,,RV,2010.0,16/03/09,04 52 05.731,+06 28 35.64,12.29,0.35700000000000004,0.38,0.3,3370.0,,Confirmed planets,4.882586111111111,6.565666666666667,12.290000788615396
87,55 Cnc b,2,0.8306,,14.651520000000001,0.11522725,0.0034,98.0,61.44,,,,,RV,1996.0,15/01/26,08 52 35.81093,+28 19 50.9511,12.34,0.96,0.96,0.3,5219.0,,"Confirmed planets, Planets in binary systems, S-type",8.966141472222223,28.4581975,12.340004273846214
88,55 Cnc c,2,0.1714,,44.4175,0.24137600000000003,0.02,51.0,228.4,,,,,RV,2002.0,15/01/26,08 52 35.81093,+28 19 50.9511,12.34,0.96,0.96,0.3,5219.0,,"Confirmed planets, Planets in binary systems, S-type",8.966141472222223,28.4581975,12.340004273846214
89,55 Cnc d,2,3.878,,4825.0,5.502999999999999,0.019,44.0,291.78,,,,,RV,2002.0,15/01/26,08 52 35.81093,+28 19 50.9511,12.34,0.96,0.96,0.3,5219.0,,"Confirmed planets, Planets in binary systems, S-type",8.966141472222223,28.4581975,12.340004273846214
90,55 Cnc e,2,0.0254,0.1746,0.7365515,0.015690907,0.04,72.0,134.3,,90.0,,,transit,2004.0,15/06/08,08 52 35.81093,+28 19 50.9511,12.34,0.96,0.96,0.3,5219.0,,"Confirmed planets, Planets in binary systems, S-type",8.966141472222223,28.4581975,12.340004273846214
91,55 Cnc f,2,0.141,,262.0,0.7879999999999999,0.305,166.0,185.6,,,,,RV,2007.0,11/06/07,08 52 35.81093,+28 19 50.9511,12.34,0.96,0.96,0.3,5219.0,,"Confirmed planets, Planets in binary systems, S-type",8.966141472222223,28.4581975,12.340004273846214
92,HD 69830 d,0,0.057999999999999996,,197.0,0.63,0.07,,,,13.0,282.9,,RV,2006.0,10/10/19,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385.0,,Confirmed planets,8.363888888888889,-12.769444444444446,12.599997682265744
93,HD 69830 b,0,0.033,,8.667,0.0785,0.1,,,,13.0,801.2,,RV,2006.0,12/01/31,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385.0,,Confirmed planets,8.363888888888889,-12.769444444444446,12.599997682265744
94,HD 69830 c,0,0.038,,31.56,0.18600000000000003,0.13,,,,13.0,520.3,,RV,2006.0,10/10/19,08 18 23,-12 37 55,12.6,0.86,0.895,-0.05,5385.0,,Confirmed planets,8.363888888888889,-12.769444444444446,12.599997682265744
95,GJ 422 b,0,0.031,,26.160999999999998,0.11900000000000001,0.05,250.0,,,,,,RV,2014.0,15/04/21,11 16 00.20551,-57 32 51.5988,12.67,0.35,,,3323.0,,Controversial,11.267237527777779,-57.67666333333333,12.670000557407041
96,VHS 1256-1257 b,0,11.2,,,,,,,,,880.0,,imaging,2015.0,15/07/23,12 56 01.922,-12 57 23.990,12.7,0.07,,,2620.0,,Confirmed planets,12.938672222222223,-13.016638888888888,12.700004065897517
97,HD 40307 b,0,0.01258,,4.3123,0.0468,0.2,,,,,804.5,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
98,HD 40307 c,0,0.020761624,,9.6184,0.0799,0.06,,,,,617.1,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
99,HD 40307 d,0,0.029884156000000002,,20.432000000000002,0.1321,0.07,,,,,479.9,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
100,HD 40307 g,0,0.02233447,,197.8,0.6,0.29,,,,,224.0,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
101,HD 40307 e,0,0.0110099,,34.62,0.1886,0.15,,,,,401.2,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
102,HD 40307 f,0,0.01635764,,51.76,0.247,0.02,,,,,351.1,,RV,2008.0,12/11/08,05 54 04,-60 01 24,12.8,0.77,,-0.31,4977.0,,Confirmed planets,5.911111111111111,-60.083333333333336,12.799995828029838
